caseid,country,variable,value
100_COL,COL,run_biz_feb,Yes
130_COL,COL,run_biz_feb,Yes
166_COL,COL,run_biz_feb,Yes
1634_COL,COL,run_biz_feb,Yes
1756_COL,COL,run_biz_feb,Yes
1903_COL,COL,run_biz_feb,Yes
6463_COL,COL,run_biz_feb,Yes
9950_COL,COL,run_biz_feb,Yes
10041_COL,COL,run_biz_feb,Yes
10414_COL,COL,run_biz_feb,Yes
10444_COL,COL,run_biz_feb,No
10471_COL,COL,run_biz_feb,Yes
10544_COL,COL,run_biz_feb,Yes
10716_COL,COL,run_biz_feb,Yes
10803_COL,COL,run_biz_feb,Yes
10810_COL,COL,run_biz_feb,No
11026_COL,COL,run_biz_feb,No
11067_COL,COL,run_biz_feb,Yes
11073_COL,COL,run_biz_feb,Yes
11311_COL,COL,run_biz_feb,Yes
11645_COL,COL,run_biz_feb,No
11660_COL,COL,run_biz_feb,Yes
11881_COL,COL,run_biz_feb,Yes
11984_COL,COL,run_biz_feb,No
12048_COL,COL,run_biz_feb,Yes
12096_COL,COL,run_biz_feb,Yes
12118_COL,COL,run_biz_feb,Yes
12129_COL,COL,run_biz_feb,Yes
12173_COL,COL,run_biz_feb,Yes
12177_COL,COL,run_biz_feb,Yes
12213_COL,COL,run_biz_feb,Yes
12243_COL,COL,run_biz_feb,Yes
12252_COL,COL,run_biz_feb,No
12333_COL,COL,run_biz_feb,Yes
12433_COL,COL,run_biz_feb,No
12486_COL,COL,run_biz_feb,No
12488_COL,COL,run_biz_feb,No
12530_COL,COL,run_biz_feb,Yes
12534_COL,COL,run_biz_feb,Yes
12660_COL,COL,run_biz_feb,No
12960_COL,COL,run_biz_feb,No
13030_COL,COL,run_biz_feb,Yes
13141_COL,COL,run_biz_feb,Yes
13146_COL,COL,run_biz_feb,No
13154_COL,COL,run_biz_feb,No
13359_COL,COL,run_biz_feb,Yes
13427_COL,COL,run_biz_feb,Yes
13469_COL,COL,run_biz_feb,Yes
13480_COL,COL,run_biz_feb,Yes
13639_COL,COL,run_biz_feb,No
13865_COL,COL,run_biz_feb,Yes
13875_COL,COL,run_biz_feb,No
13879_COL,COL,run_biz_feb,No
14048_COL,COL,run_biz_feb,No
14102_COL,COL,run_biz_feb,Yes
14262_COL,COL,run_biz_feb,Yes
14280_COL,COL,run_biz_feb,No
14566_COL,COL,run_biz_feb,Yes
14570_COL,COL,run_biz_feb,Yes
14744_COL,COL,run_biz_feb,No
14812_COL,COL,run_biz_feb,No
14821_COL,COL,run_biz_feb,Yes
14990_COL,COL,run_biz_feb,Yes
15170_COL,COL,run_biz_feb,Yes
15254_COL,COL,run_biz_feb,No
15367_COL,COL,run_biz_feb,Yes
15425_COL,COL,run_biz_feb,Yes
15606_COL,COL,run_biz_feb,Yes
15619_COL,COL,run_biz_feb,No
15659_COL,COL,run_biz_feb,Yes
15676_COL,COL,run_biz_feb,Yes
15864_COL,COL,run_biz_feb,Yes
15871_COL,COL,run_biz_feb,Yes
16511_COL,COL,run_biz_feb,Yes
16608_COL,COL,run_biz_feb,Yes
16609_COL,COL,run_biz_feb,Yes
16648_COL,COL,run_biz_feb,No
16709_COL,COL,run_biz_feb,Yes
16827_COL,COL,run_biz_feb,Yes
17370_COL,COL,run_biz_feb,Yes
17588_COL,COL,run_biz_feb,Yes
17711_COL,COL,run_biz_feb,No
17755_COL,COL,run_biz_feb,No
18061_COL,COL,run_biz_feb,Yes
18137_COL,COL,run_biz_feb,No
18562_COL,COL,run_biz_feb,Yes
18793_COL,COL,run_biz_feb,Yes
19332_COL,COL,run_biz_feb,No
19557_COL,COL,run_biz_feb,Yes
19847_COL,COL,run_biz_feb,Yes
19947_COL,COL,run_biz_feb,Yes
19997_COL,COL,run_biz_feb,No
20021_COL,COL,run_biz_feb,Yes
20322_COL,COL,run_biz_feb,Yes
20571_COL,COL,run_biz_feb,Yes
21206_COL,COL,run_biz_feb,Yes
21300_COL,COL,run_biz_feb,Yes
21427_COL,COL,run_biz_feb,Yes
21556_COL,COL,run_biz_feb,Yes
22212_COL,COL,run_biz_feb,Yes
23667_COL,COL,run_biz_feb,Yes
24755_COL,COL,run_biz_feb,Yes
26200_COL,COL,run_biz_feb,Yes
27278_COL,COL,run_biz_feb,Yes
28270_COL,COL,run_biz_feb,No
10032_RWA,RWA,run_biz_feb,Yes
10063_RWA,RWA,run_biz_feb,Yes
1009_RWA,RWA,run_biz_feb,Yes
10105_RWA,RWA,run_biz_feb,Yes
10270_RWA,RWA,run_biz_feb,Yes
10283_RWA,RWA,run_biz_feb,Yes
10292_RWA,RWA,run_biz_feb,Yes
10462_RWA,RWA,run_biz_feb,Yes
10470_RWA,RWA,run_biz_feb,Yes
10518_RWA,RWA,run_biz_feb,Yes
10565_RWA,RWA,run_biz_feb,Yes
10569_RWA,RWA,run_biz_feb,Yes
10582_RWA,RWA,run_biz_feb,Yes
106_RWA,RWA,run_biz_feb,Yes
10608_RWA,RWA,run_biz_feb,Yes
10678_RWA,RWA,run_biz_feb,Yes
10725_RWA,RWA,run_biz_feb,Yes
10737_RWA,RWA,run_biz_feb,Yes
10744_RWA,RWA,run_biz_feb,Yes
10756_RWA,RWA,run_biz_feb,Yes
10815_RWA,RWA,run_biz_feb,Yes
1082_RWA,RWA,run_biz_feb,Yes
10846_RWA,RWA,run_biz_feb,Yes
10862_RWA,RWA,run_biz_feb,Yes
10872_RWA,RWA,run_biz_feb,Yes
10921_RWA,RWA,run_biz_feb,Yes
10988_RWA,RWA,run_biz_feb,Yes
11015_RWA,RWA,run_biz_feb,Yes
11016_RWA,RWA,run_biz_feb,Yes
11022_RWA,RWA,run_biz_feb,Yes
11061_RWA,RWA,run_biz_feb,Yes
